v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links,seed
9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,1,292.0,17496,2828,14668,0.0,0.0,8,91.79931059919478,292.0,7,12,False,{},{},{},{},0.0,0.0,800.0,400.0,1217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,1,329.0,17496,2828,14668,0.0,0.0,9,205.6257816899941,329.0,6,6,False,{},{},{},{},0.0,0.0,646.0,323.0,654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,1,364.0,17496,2828,14668,0.0,0.0,10,450.8835213951323,364.0,10,22,False,{},{},{},{},0.0,0.0,1130.0,565.0,2349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,383.79931059919477,17496,2828,14668,0.0,0.0,8,91.79931059919478,292.0,7,12,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0,386.65843346046614,17496,2828,14668,0.0,0.0,2,274.65843346046614,112.0,6,9,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,1,401.0,17496,2828,14668,0.0,0.0,11,19.237988887569244,401.0,8,10,False,{},{},{},{},0.0,0.0,714.0,357.0,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,0,420.23798888756926,17496,2828,14668,0.0,0.0,11,19.237988887569244,401.0,8,10,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,17,1,447.0,17496,2828,14668,0.0,0.0,12,515.4420381029943,447.0,10,20,False,{},{},{},{},0.0,0.0,1254.0,627.0,2167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,18,1,466.0,17496,2828,14668,0.0,0.0,13,470.94069920524873,466.0,8,8,False,{},{},{},{},0.0,0.0,1002.0,501.0,968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,19,1,497.0,17496,2828,14668,0.0,0.0,14,129.89982732226608,497.0,10,22,False,{},{},{},{},0.0,0.0,1104.0,552.0,2494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,498.37402859821407,17496,2828,14668,0.0,0.0,7,242.3740285982141,256.0,10,17,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,1,522.0,17496,2828,14668,0.0,0.0,15,277.57841215019715,522.0,9,21,False,{},{},{},{},0.0,0.0,1002.0,501.0,2359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,22,0,534.6257816899941,17496,2828,14668,0.0,0.0,9,205.6257816899941,329.0,6,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,1,552.0,17496,2828,14668,0.0,0.0,16,107.5349675859121,552.0,6,6,False,{},{},{},{},0.0,0.0,638.0,319.0,599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,24,1,571.0,17496,2828,14668,0.0,0.0,17,10.780303965306567,571.0,7,11,False,{},{},{},{},0.0,0.0,728.0,364.0,1163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,25,0,581.7803039653065,17496,2828,14668,0.0,0.0,17,10.780303965306567,571.0,7,11,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,26,0,595.8664325293968,17496,2828,14668,0.0,0.0,4,438.8664325293968,157.0,8,19,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,27,1,600.0,17496,2828,14668,0.0,0.0,18,438.4387132813886,600.0,6,11,False,{},{},{},{},0.0,0.0,684.0,342.0,1163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,28,0,626.8998273222661,17496,2828,14668,0.0,0.0,14,129.89982732226608,497.0,10,22,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29,1,636.0,17496,2828,14668,0.0,0.0,19,294.71534786487837,636.0,8,16,False,{},{},{},{},0.0,0.0,1040.0,520.0,1480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0,659.5349675859121,17496,2828,14668,0.0,0.0,16,107.5349675859121,552.0,6,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,31,1,666.0,17496,2828,14668,0.0,0.0,20,922.7594210773107,666.0,6,8,False,{},{},{},{},0.0,0.0,612.0,306.0,844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,32,1,689.0,17496,2828,14668,0.0,0.0,21,110.98190746580214,689.0,7,9,False,{},{},{},{},0.0,0.0,654.0,327.0,971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,33,1,721.0,17496,2828,14668,0.0,0.0,22,290.4443974466298,721.0,8,14,False,{},{},{},{},0.0,0.0,840.0,420.0,1429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,34,1,744.0,17496,2828,14668,0.0,0.0,23,550.4893419792496,744.0,8,13,False,{},{},{},{},0.0,0.0,970.0,485.0,1389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,1,777.0,17496,2828,14668,0.0,0.0,24,35.3907869256747,777.0,6,11,False,{},{},{},{},0.0,0.0,544.0,272.0,1418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,36,0,799.5784121501972,17496,2828,14668,0.0,0.0,15,277.57841215019715,522.0,9,21,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0,799.9819074658021,17496,2828,14668,0.0,0.0,21,110.98190746580214,689.0,7,9,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,38,0,812.3907869256747,17496,2828,14668,0.0,0.0,24,35.3907869256747,777.0,6,11,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,39,1,814.0,17496,2828,14668,0.0,0.0,25,219.51350183573592,814.0,6,9,False,{},{},{},{},0.0,0.0,690.0,345.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,0,814.8835213951322,17496,2828,14668,0.0,0.0,10,450.8835213951323,364.0,10,22,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,41,1,845.0,17496,2828,14668,0.0,0.0,26,579.2389574334763,845.0,9,21,False,{},{},{},{},0.0,0.0,984.0,492.0,2031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,42,1,868.0,17496,2828,14668,0.0,0.0,27,140.56638107031222,868.0,8,12,False,{},{},{},{},0.0,0.0,960.0,480.0,1157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
29,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,43,1,891.0,17496,2828,14668,0.0,0.0,28,226.26052988888063,891.0,7,13,False,{},{},{},{},0.0,0.0,836.0,418.0,1425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,44,1,925.0,17496,2828,14668,0.0,0.0,29,430.6216388996423,925.0,6,9,False,{},{},{},{},0.0,0.0,606.0,303.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,45,0,930.7153478648784,17496,2828,14668,0.0,0.0,19,294.71534786487837,636.0,8,16,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,46,0,936.9406992052487,17496,2828,14668,0.0,0.0,13,470.94069920524873,466.0,8,8,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
